fips,state,county,Town/City,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
44001,RI,Bristol County,Barrington,1,https://www.barrington.ri.gov,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44001,RI,Bristol County,Bristol,1,https://www.bristolri.gov,,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
44001,RI,Bristol County,warren,1,https://www.townofwarren-ri.gov,,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
44003,RI,Kent County,Coventry,1,https://www.coventryri.org,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
44003,RI,Kent County,East Greenwich,1,https://www.eastgreenwichri.com,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
44003,RI,Kent County,City of Warwick,1,https://www.warwickri.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44003,RI,Kent County,West Greenwich,1,https://www.wgtownri.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44003,RI,Kent County,West Warwick,1,https://www.westwarwickri.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44005,RI,Newport County,Jamestown,1,https://www.jamestownri.gov/home,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
44005,RI,Newport County,Little Compton,1,https://www.littlecomptonri.org,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
44005,RI,Newport County,Middletown,1,https://www.middletownri.com,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44005,RI,Newport County,City of Newport,1,https://www.cityofnewport.com,,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
44005,RI,Newport County,Portsmouth,1,https://www.portsmouthri.gov,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44005,RI,Newport County,Tiverton,1,https://www.tiverton.ri.gov,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44007,RI,Providence County,Burrillville,1,https://www.burrillville.org,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
44007,RI,Providence County,City of Central falls,1,https://www.centralfallsri.gov,,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
44007,RI,Providence County,City of Cranston,1,https://www.cranstonri.gov,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44007,RI,Providence County,Cumberland,1,https://www.cumberlandri.org,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
44007,RI,Providence County,City of East Providence,1,https://eastprovidenceri.gov,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
44007,RI,Providence County,Foster,1,https://www.townoffoster.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44007,RI,Providence County,Glocester,1,https://www.glocesterri.gov,,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
44007,RI,Providence County,Johnston,1,https://townofjohnstonri.com,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
44007,RI,Providence County,Lincoln,1,https://www.lincolnri.gov,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44007,RI,Providence County,North Providence,1,https://northprovidenceri.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44007,RI,Providence County,North Smithfield,1,https://www.nsmithfieldri.org,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44007,RI,Providence County,City of Pawtucket,1,https://www.pawtucketri.com,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
44007,RI,Providence County,City of Providence,1,https://www.providenceri.gov,,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
44007,RI,Providence County,Scituate,1,https://www.scituateri.gov,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44007,RI,Providence County,Smithfield,1,https://www.smithfieldri.gov,,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
44007,RI,Providence County,City of Woonsocket,1,https://www.woonsocketri.org,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
44009,RI,Washington County,Charlestown,1,https://charlestownri.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44009,RI,Washington County,Exeter,1,https://www.exeterri.gov,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44009,RI,Washington County,Hopkinton,1,https://www.hopkintonri.gov,,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
44009,RI,Washington County,Narragansett,1,https://www.narragansettri.gov,,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
44009,RI,Washington County,New Shoreham,1,https://www.newshorehamri.gov,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44009,RI,Washington County,North Kingstown,1,https://www.northkingstownri.gov,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
44009,RI,Washington County,richmond,1,https://www.richmondri.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44009,RI,Washington County,South Kingstown,1,https://www.southkingstownri.com,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44009,RI,Washington County,Westerly,1,http://westerlyri.gov,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,